,name,address,phone,categories,rating,amount_of_reviews,avg_check,price_eval,working_hours
0,Подушечная,"Юнусабадский район, ул. Осиё, 17",+998 90 999 77 61,"['Ресторан', 'пиццерия', 'кафе']","4,4",434 отзыва,80000–120000 узб.сум,выше среднего,Открыто до 23:00
1,Nice Joy,"Юнусабадский район, ул. Осиё, 89/33",+998 90 999 77 62,"['Ресторан', 'суши-бар', 'кафе']","4,4",127 отзывов,80000–100000 узб.сум,выше среднего,Открыто до 23:00
2,Силк96,"ул. Кары-Ниязи, 68",+998 99 835 85 00,"['Ресторан', 'кафе', 'бар, паб']","4,4",80 отзывов,80000–120000 узб.сум,выше среднего,Закрыто до 15:00
3,Akmal Oltin Baliq,"Ташкентская область, Кибрайский район, улица Укитувчи, 109",+998 97 145 49 95,['Кафе'],"4,4",188 отзывов,,,Открыто до 23:00
4,СМИ,"ул. Кары-Ниязи, 68",+998 99 835 85 00,"['Бар, паб', 'кафе']","4,4",111 отзывов,30000–50000 узб.сум,высокие,Закрыто до 20:00
5,Эфенди,"Ташкент, Шайхантахурский район, махалля Лабзак 12/1",+998 95 177 09 93,"['Ресторан', 'кафе', 'доставка еды и обедов']","4,4",244 отзыва,,,Открыто до 22:30
6,Street 77,"Мирзо-Улугбекский район, ул. Шастри, 19А",+998 71 200 86 86,"['Быстрое питание', 'кафе']","4,4",320 отзывов,,,Открыто до 03:00
7,Dayako Chicken,"Яккасарайский район, 9-й пр. Абдуллы Каххара, 16А",+998 71 200 56 56,"['Кафе', 'ресторан']","4,4",261 отзыв,,,Открыто до 23:00
8,Караван,"Яккасарайский район, ул. Махмуда Тараби, 22",+998 78 150 75 55,"['Ресторан', 'доставка еды и обедов']","4,4",504 отзыва,100000 узб.сум,выше среднего,Открыто до 02:00
9,Dunyo,"Яккасарайский район, ул. Кушбеги, 6",+998 95 198 08 01,"['Ресторан', 'кафе']","4,4",468 отзывов,100000 узб.сум,выше среднего,Открыто до 23:00
10,Центр плова,"Ташкент, ул. Чингиза Айтматова, 33",+998 71 235 59 80,['Кафе'],"4,4",130 отзывов,15000–25000 узб.сум,средние,Открыто до 22:00
11,B&b,"Ташкент, ул. Шота Руставели, 30А",+998 71 209 84 48,['Кафе'],"4,4",577 отзывов,,,Открыто до 02:00
12,NIhol,"Ташкент, Олмазорский район, махалля Зиё",+998 71 246 95 36,"['Кафе', 'ресторан']","4,4",220 отзывов,20000 узб.сум,средние,Открыто до 22:00
13,Arrows and Sparrows Cafe,"Ташкент, ул. Укчи, 2/1",,"['Ресторан', 'кафе']","4,4",206 отзывов,80000–150000 узб.сум,выше среднего,Открыто до 23:00
14,Navvat,"Ташкент, ул. Сайилгох, 7",+998 99 968 68 68,['Ресторан'],"4,4",233 отзыва,130000 узб.сум,высокие,Круглосуточно
15,Efendi,"Ташкент, ул. Садыка Азимова, 79А",+998 71 233 15 02,['Ресторан'],"4,4",401 отзыв,55600–83400 узб.сум,средние,Открыто до 22:00
16,Гиждувон,"Ташкент, 5-й пр. Курган, 2",+998 71 235 08 00,"['Кафе', 'быстрое питание']","4,4",161 отзыв,40000–90000 узб.сум,средние,Открыто до 23:00
17,Rayhon,"Ташкент, Мирзо-Улугбекский район, массив Буюк Ипак Йули, 1",+998 99 732 67 67,['Ресторан'],"4,4",157 отзывов,,,Открыто до 22:00
18,Shohona,"Ташкент, ул. Мирзо Улугбека, 1",+998 71 289 64 64,['Ресторан'],"4,4",479 отзывов,,,Открыто до 23:00
19,Wok,"Ташкент, ул. Узбекистон Овози, 21",+998 71 200 73 73,"['Ресторан', 'суши-бар']","4,4",323 отзыва,от 25000 узб.сум,средние,Открыто до 01:00
20,Bamonti,"ул. Авлиё-Ота, 9, Мирабадский район, Ташкент",+998 93 555 04 44,['Ресторан'],"4,4",95 отзывов,,,Открыто до 00:00
21,Loook,"Ташкент, ул. Фархад, 8А",+998 71 207 20 70,"['Быстрое питание', 'кафе']","4,4",200 отзывов,,,Открыто до 00:00
22,Darxon,"Ташкент, просп. Мустакиллик, 88A",+998 71 286 10 40,"['Кафе', 'банкетный зал']","4,4",94 отзыва,15000–20000 узб.сум,средние,Закрыто до завтра
23,Dayako Chicken,"Ташкент, Tashkent City Park",+998 97 717 57 89,"['Кафе', 'ресторан', 'доставка еды и обедов']","4,4",191 отзыв,180000–200000 узб.сум,высокие,Открыто до 23:00
24,Дустлар,"Ташкент, ул. Чимкент, 17Б/1",+998 71 252 75 19,['Кафе'],"4,4",169 отзывов,28000–42000 узб.сум,средние,Открыто до 18:00
25,Bon!,"ул. Алишера Навои, 22, Ташкент",+998 71 241 20 67,"['Кофейня', 'пекарня']","4,4",170 отзывов,15000–40000 узб.сум,средние,Открыто до 23:00
26,Soy,"Ташкент, ул. Айбека, 50",+998 99 878 88 88,"['Ресторан', 'кафе']","4,4",212 отзывов,60000–80000 узб.сум,средние,Открыто до 23:00
27,Afiyet,"Ташкент, Олмазорский район, махалля Янги Себзор, улица Абдуллы Кадыри, 1",,['Ресторан'],"4,4",64 отзыва,50000–80000 узб.сум,средние,Открыто до 01:00
28,Lagman House,"Ташкент, 2-й тупик Фараби, 11",+998 90 350 55 66,"['Кафе', 'быстрое питание']","4,4",188 отзывов,,,Открыто до 02:00
29,Sim Sim,"Ташкент, ул. Мукими, 4",+998 71 253 54 34,['Ресторан'],"4,4",357 отзывов,70000–120000 узб.сум,выше среднего,Открыто до 00:00
30,Hammersmith,"Ташкент, наб. Анхора, 2",+998 71 241 66 71,"['Ресторан', 'бар, паб']","4,4",671 отзыв,,,Закрыто до 15:00
31,Oshpaz. Uz,"Ташкент, ул. Урикзор, 138",+998 95 177 03 30,['Кафе'],"4,4",121 отзыв,,,Открыто до 23:00
32,Evos,"Ташкент, Чиланзарский район, массив Чиланзор, 10-й квартал массива Чиланзар, 17",+998 71 203 12 12,['Быстрое питание'],"4,4",293 отзыва,,,Открыто до 03:00
33,Al-Aziz,"Ташкент, улица Абдуллы Кадыри",+998 90 926 29 13,['Ресторан'],"4,4",120 отзывов,33000–60000 узб.сум,средние,Открыто до 23:00
34,Блэк Стар Бургер,"Ташкент, ул. Садыка Азимова, 2",+998 99 900 60 06,['Быстрое питание'],"4,4",281 отзыв,от 80000 узб.сум,выше среднего,Открыто до 02:00
35,Soy,"Ташкент, просп. Бунёдкор, 4",+998 95 145 70 00,"['Ресторан', 'быстрое питание']","4,4",373 отзыва,,,Открыто до 23:30
36,Max Way,"ул. Шота Руставели, 9А, Ташкент",+998 71 200 54 00,"['Кафе', 'ресторан', 'продукты питания оптом']","4,4",234 отзыва,64000–96000 узб.сум,выше среднего,Открыто до 03:00
37,Национальные блюда,"Ташкент, проезд Олой Бозори",+998 90 970 83 33,"['Столовая', 'ресторан', 'кафе']","4,4",18 отзывов,,,Открыто до 18:00
38,Broadway,"Ташкент, ул. Матбуотчилар, 17",+998 99 887 00 55,"['Ресторан', 'кафе']","4,4",78 отзывов,80000–130000 узб.сум,выше среднего,Открыто до 02:00
39,Olimpiya,"Ташкент, ул. Шарафа Рашидова, 4А",+998 71 241 88 86,"['Ресторан', 'быстрое питание']","4,4",47 отзывов,,,Открыто до 00:00
40,ТяньЦзинь,"Ташкент, просп. Амира Темура, 30",+998 99 305 73 21,['Ресторан'],"4,4",89 отзывов,80000–120000 узб.сум,выше среднего,Открыто до 22:00
41,Opera,"Ташкент, просп. Амира Темура, 7/8",+998 781 20 37 00,"['Ресторан', 'кафе']","4,4",30 отзывов,140000–210000 узб.сум,высокие,Круглосуточно
42,Yaponamama,"Ташкент, Шайхантахурский район, массив Джангох, 34",+998 98 107 13 12,"['Суши-бар', 'ресторан']","4,4",114 отзывов,,от 55000 узб.сум,Открыто до 22:00
43,Aksu,"Ташкент, ул. Мукими, 178",+998 71 273 33 22,['Кафе'],"4,4",270 отзывов,,,Открыто до 23:00
44,Татьяна,"ул. Султанали Машхади, 43, Яшнободский район, Ташкент",+998 71 267 36 01,['Кафе'],"4,4",111 отзывов,60000 узб.сум,средние,Открыто до 23:00
45,Домашка,"Ташкент, ул. Шота Руставели, 36",+998 71 255 65 24,"['Кафе', 'быстрое питание']","4,4",111 отзывов,,,Открыто до 19:00
46,Точка вкуса,"Ташкент, ул. Афросиаб, 8/1",+998 71 252 51 10,['Кафе'],"4,4",105 отзывов,,,Открыто до 23:00
47,Max Way,"Ташкент, ул. Заркайнар, 2",+998 71 200 56 00,"['Кафе', 'ресторан', 'быстрое питание']","4,4",51 отзыв,,,Открыто до 01:00
48,Osmanli,"Ташкент, просп. Бунёдкор, 4",+998 99 435 55 56,['Ресторан'],"4,4",91 отзыв,,,Открыто до 00:00
49,Chor Minor,"ул. Шота Руставели, 32А, Ташкент",+998 91 004 88 99,"['Кафе', 'ресторан', 'банкетный зал']","4,4",127 отзывов,80000–100000 узб.сум,выше среднего,Открыто до 23:00
50,Tarnovboshi,"Ташкент, просп. Бунёдкор, 4",+998 71 203 52 52,['Кафе'],"4,4",71 отзыв,70000–100000 узб.сум,выше среднего,Открыто до 23:00
51,Космос,"Ташкент, просп. Амира Темура, 109А",+998 99 898 11 11,"['Ресторан', 'кафе', 'быстрое питание', 'доставка еды и обедов', 'гостиница']","4,4",104 отзыва,,,Открыто до 22:00
52,Registan,"Ташкент, ул. Шарафа Рашидова, 77А",,['Кафе'],"4,4",55 отзывов,160000–240000 узб.сум,высокие,Открыто до 23:00
53,Форн Лебнен,"Ташкент, ул. Мирабад, 29А",+998 95 015 58 85,"['Кафе', 'ресторан', 'быстрое питание']","4,4",74 отзыва,,,Открыто до 00:00
54,The Plov,"ул. Хушнаво, 4, Ташкент",+998 97 780 39 39,['Кафе'],"4,4",40 отзывов,,,Круглосуточно
55,Форн Лебнен,"Ташкент, ул. Мирабад, 29А",+998 95 015 58 85,"['Кафе', 'ресторан', 'быстрое питание']","4,4",74 отзыва,,,Открыто до 00:00
56,Хадра Миллий Таомлар,"Ташкент, ул. Себзар, 1",+998 71 244 71 38,['Кафе'],"4,4",106 отзывов,,,Открыто до 23:00
57,Керван,"Ташкент, Мирзо-Улугбекский район, массив Буюк Ипак Йули, 38",+998 71 233 00 38,['Кафе'],"4,4",24 отзыва,,,Открыто до 23:00
58,İstanbul,"Ташкент, ул. Мирабад, 35",+998 99 870 67 67,['Ресторан'],"4,4",105 отзывов,,,Открыто до 00:00
59,İstanbul,"Ташкент, ул. Мирабад, 35",+998 99 870 67 67,['Ресторан'],"4,4",105 отзывов,,,Открыто до 00:00
60,Toshkent,"Ташкент, улица Ахмада Дониша",+998 94 677 76 56,['Ресторан'],"4,4",103 отзыва,56000–84000 узб.сум,средние,Открыто до 23:00
61,Best Food,"Ташкент, 1-й пр. Хроми, 4А",+998 90 348 11 11,"['Быстрое питание', 'пиццерия', 'кафе']","4,4",39 отзывов,20000–40000 узб.сум,средние,Открыто до 00:45
62,Bogi-diyor,"Ташкент, Чиланзарский район, махалля Катта Чилонзор-3, 80",,['Кафе'],"4,4",74 отзыва,,,Открыто до 23:00
63,Bon!,"Ташкент, ул. Катартал, 28",+998 95 144 00 54,"['Кофейня', 'пекарня']","4,4",104 отзыва,15000–40000 узб.сум,средние,Открыто до 23:00
64,Bon!,"Ташкент, ул. Катартал, 28",+998 95 144 00 54,"['Кофейня', 'пекарня']","4,4",104 отзыва,15000–40000 узб.сум,средние,Открыто до 23:00
65,Oqtepa Lavash,"Ташкент, ул. Лутфи, 6",+998 78 150 00 30,"['Быстрое питание', 'ресторан', 'кафе']","4,4",161 отзыв,,,Открыто до 03:00
66,Чайхона,"Ташкент, просп. Амира Темура, 42/17",,"['Ресторан', 'кафе']","4,4",7 отзывов,,,
67,Feed Up,"Toshkent, Oʻzbekiston ovozi koʻchasi, 35",+998 71 200 22 11,['Быстрое питание'],"4,4",46 отзывов,,,Открыто до 03:00
68,Oqtepa Lavash,"Ташкент, Шайхантахурский район, махалля Коратош, 1Б",+998 78 150 00 30,"['Быстрое питание', 'ресторан', 'кафе']","4,4",92 отзыва,,,Открыто до 03:00
69,Diet Bistro,"Ташкент, ул. Гагарина, 65",+998 71 277 62 61,['Столовая'],"4,4",95 отзывов,,,Круглосуточно
70,Moscow Pizza,"Ташкент, ул. Юсуфа Хос Ходжиба, 34",+998 93 167 99 99,['Пиццерия'],"4,4",63 отзыва,35000–130000 узб.сум,выше среднего,Круглосуточно
71,Bolo Hovuz,"Ташкент, ул. Лабзак, 12",+998 95 177 05 09,"['Кафе', 'ресторан']","4,4",16 отзывов,20000–100000 узб.сум,средние,Открыто до 23:00
72,Пельменная,"Ташкент, ул. Якуба Коласа, 2",+998 94 644 70 20,"['Быстрое питание', 'кафе']","4,4",49 отзывов,,,Закрыто до завтра
